12.59 -0.0043 0.004 0.0018 -0.0017
12.656 -0.0043 0.004 0.0018 -0.0017
12.722 -0.0043 0.004 0.0018 -0.0017
12.782 -0.0043 0.0025 0.0018 -0.001
12.857 -0.0032 0.0025 0.0013 -0.001
12.914 -0.0032 0.0025 0.0013 -0.001
12.989 -0.0032 0.0025 0.0013 -0.001
13.055 -0.0032 0.0025 0.0013 -0.001
13.121 -0.0032 0.0009 0.0013 -0.0004
13.191 -0.002 0.0009 0.0008 -0.0004
13.249 -0.002 0.0009 0.0008 -0.0004
13.318 -0.0009 0.0009 0.0004 -0.0004
13.385 -0.002 0.0009 0.0008 -0.0004
13.448 -0.0009 -0.0006 0.0004 0.0003
13.519 -0.0009 -0.0006 0.0004 0.0003
13.591 -0.0009 -0.0006 0.0004 0.0003
13.658 -0.0009 -0.0006 0.0004 0.0003
13.721 0.0003 -0.0006 -0.0001 0.0003
13.785 0.0003 -0.0021 -0.0001 0.0009
13.848 0.0003 -0.0021 -0.0001 0.0009
13.92 0.0003 -0.0021 -0.0001 0.0009
13.986 0.0003 -0.0021 -0.0001 0.0009
14.052 0.0014 -0.0021 -0.0006 0.0009
14.11 0.0014 -0.0021 -0.0006 0.0009
14.186 0.0014 -0.0037 -0.0006 0.0015
14.248 0.0014 -0.0037 -0.0006 0.0015
14.315 0.0014 -0.0037 -0.0006 0.0015
14.383 0.0014 -0.0037 -0.0006 0.0015
14.458 0.0026 -0.0037 -0.0011 0.0015
14.52 0.0014 -0.0037 -0.0006 0.0015
14.588 0.0014 -0.0037 -0.0006 0.0015
14.648 0.0014 -0.0037 -0.0006 0.0015
14.719 0.0026 -0.0037 -0.0011 0.0015
14.785 0.0014 -0.0037 -0.0006 0.0015
14.843 0.0026 -0.0037 -0.0011 0.0016
14.909 0.0026 -0.0037 -0.0011 0.0015
14.992 0.0026 -0.0037 -0.0011 0.0015
15.056 0.0026 -0.0037 -0.0011 0.0015
15.124 0.0026 -0.0037 -0.0011 0.0016
15.189 0.0026 -0.0037 -0.0011 0.0015
